"source page","source page title","가게명","종류","평점","리뷰","주소","지번","운영시간","링크","전화번호"
"https://map.kakao.com/","카카오맵","리틀파스타 공릉본점","이탈리안","3.7","https://place.map.kakao.com/19693976#review","서울 노원구 동일로198길 78 청교프라자 2층","(지번) 공릉동 434-2","월,화,수,목,금,일 10:30 ~ 21:30","https://place.map.kakao.com/19693976?openhour=1","02-974-0201"
"https://map.kakao.com/","카카오맵","핏짜굽는언니 공릉점","피자","3.0","https://place.map.kakao.com/21525800#review","서울 노원구 동일로198길 58 1층","(지번) 공릉동 431-4","월~토 11:00 ~ 22:00","https://place.map.kakao.com/21525800?openhour=1","02-979-0234"
"https://map.kakao.com/","카카오맵","7일간의양심","스테이크,립","3.8","https://place.map.kakao.com/118701285#review","서울 노원구 동일로192길 5","(지번) 공릉동 386-6","영업시간 매일 17:00 ~ 01:00","https://place.map.kakao.com/118701285?openhour=1","02-949-8786"
"https://map.kakao.com/","카카오맵","루이스버거 공릉점","햄버거","2.4","https://place.map.kakao.com/1753610905#review","서울 노원구 동일로198길 78 청교프라자 2층","(지번) 공릉동 434-2","매일 10:30 ~ 21:30","https://place.map.kakao.com/1753610905?openhour=1","02-977-0766"
"https://map.kakao.com/","카카오맵","플렉스버거","햄버거","","https://place.map.kakao.com/754311770#review","서울 노원구 동일로192길 88 오성빌딩 1층 101호","(지번) 공릉동 441-26","매일 11:00 ~ 21:30","https://place.map.kakao.com/754311770?openhour=1","02-971-3250"
"https://map.kakao.com/","카카오맵","서오릉피자 공릉점","피자","4.9","https://place.map.kakao.com/1591277646#review","서울 노원구 동일로192길 26 1층","(지번) 공릉동 393-1","매일 11:00 ~ 22:00","https://place.map.kakao.com/1591277646?openhour=1","02-973-1818"
"https://map.kakao.com/","카카오맵","피자마루 서울공릉점","피자","3.2","https://place.map.kakao.com/8130440#review","서울 노원구 공릉로 196 1층","(지번) 공릉동 208-24","매일 11:00 ~ 23:00","https://place.map.kakao.com/8130440?openhour=1","02-979-1082"
"https://map.kakao.com/","카카오맵","바이루시아","이탈리안","5.0","https://place.map.kakao.com/1305441074#review","서울 노원구 공릉로 204 동부아파트 상가동 1층 106호","(지번) 공릉동 705","","https://map.kakao.com/#",""
"https://map.kakao.com/","카카오맵","빽보이피자 공릉점","피자","3.0","https://place.map.kakao.com/1113492819#review","서울 노원구 공릉로 201","(지번) 공릉동 424-3","","https://map.kakao.com/#","1668-1894"
"https://map.kakao.com/","카카오맵","피자스쿨 공릉점","피자","3.4","https://place.map.kakao.com/8136049#review","서울 노원구 동일로192길 87 1층","(지번) 공릉동 441-152","월요일","https://place.map.kakao.com/8136049?openhour=1","02-979-5567"
"https://map.kakao.com/","카카오맵","GTS 버거 공릉점","햄버거","4.7","https://place.map.kakao.com/590397011#review","서울 노원구 동일로190길 49 지하","(지번) 공릉동 392-8","","https://map.kakao.com/#",""
"https://map.kakao.com/","카카오맵","오렌지몽키파스타앤 마르코죤스피자","양식","5.0","https://place.map.kakao.com/937745460#review","서울 노원구 공릉로 223 도곡빌딩 2층","(지번) 공릉동 440-16","","https://map.kakao.com/#",""
"https://map.kakao.com/","카카오맵","파스타입니다 공릉점","이탈리안","0.0","https://place.map.kakao.com/1233213470#review","서울 노원구 동일로192길 46","(지번) 공릉동 392-2","","https://map.kakao.com/#",""
"https://map.kakao.com/","카카오맵","보딩샐러드키친","양식","5.0","https://place.map.kakao.com/2015002492#review","서울 노원구 동일로192길 92 1층","(지번) 공릉동 441-24","","https://map.kakao.com/#",""
"https://map.kakao.com/","카카오맵","마리오피자 공릉점","피자","0.0","https://place.map.kakao.com/1061864341#review","서울 노원구 공릉로 196","(지번) 공릉동 208-24","","https://map.kakao.com/#",""
"https://map.kakao.com/","카카오맵","GTSBURGER 공릉점","양식","0.0","https://place.map.kakao.com/1305066679#review","서울 노원구 동일로190길 49","(지번) 공릉동 392-8","","https://map.kakao.com/#","0507-2079-2029"
