"source page||source page title||가게명||종류||평점||리뷰||주소||지번||운영시간||링크||전화번호||
"https://map.kakao.com/||카카오맵||공덕관||중국요리||2.5||https://place.map.kakao.com/16765207#review||서울 노원구 동일로192길 38 1,2층||(지번) 공릉1동 393-15||매일 11:00 ~ 21:00||https://place.map.kakao.com/16765207?openhour=1||02-974-9090||
"https://map.kakao.com/||카카오맵||중국집||중국요리||3.6||https://place.map.kakao.com/1482296127#review||서울 노원구 공릉로51길 7 2층||(지번) 공릉동 440-11||매일 10:30 ~ 21:00||https://place.map.kakao.com/1482296127?openhour=1||02-979-5353||
"https://map.kakao.com/||카카오맵||가원양꼬치||양꼬치||4.9||https://place.map.kakao.com/366183593#review||서울 노원구 동일로192길 46||(지번) 공릉동 392-2||월요일||https://place.map.kakao.com/366183593?openhour=1||070-4133-0539||
"https://map.kakao.com/||카카오맵||뽕신 공릉동점||중국요리||4.3||https://place.map.kakao.com/17247659#review||서울 노원구 동일로 1078||(지번) 공릉동 386-5||매일 11:00 ~ 21:00||https://place.map.kakao.com/17247659?openhour=1||||
"https://map.kakao.com/||카카오맵||라화방마라탕||중식||3.2||https://place.map.kakao.com/315578128#review||서울 노원구 공릉로 208||(지번) 공릉동 208-18||월~금 11:00 ~ 21:00||https://place.map.kakao.com/315578128?openhour=1||02-977-9392||
"https://map.kakao.com/||카카오맵||용문각||중국요리||4.9||https://place.map.kakao.com/9277533#review||서울 노원구 동일로 1106 1층||(지번) 공릉동 362-1||월요일||https://place.map.kakao.com/9277533?openhour=1||02-977-1255||
"https://map.kakao.com/||카카오맵||샹츠마라||중국요리||3.9||https://place.map.kakao.com/139212943#review||서울 노원구 공릉로 229-1 공릉동비발디캐슬 101동 1103,1104호||(지번) 공릉동 437-4||매일 11:00 ~ 22:30 · 휴게시간 매일 15:30 ~ 16:30||https://place.map.kakao.com/139212943?openhour=1||||
"https://map.kakao.com/||카카오맵||왕짜장||중국요리||3.0||https://place.map.kakao.com/11648405#review||서울 노원구 공릉로 201||(지번) 공릉동 424-3||월~토 10:00 ~ 22:00||https://place.map.kakao.com/11648405?openhour=1||02-972-9822||
"https://map.kakao.com/||카카오맵||춘리마라탕 공릉점||중식||5.0||https://place.map.kakao.com/2064157302#review||서울 노원구 공릉로 199 2층||(지번) 공릉동 424-8||월,화,목,금,토,일 11:00 ~ 23:30||https://place.map.kakao.com/2064157302?openhour=1||02-977-8511||
"https://map.kakao.com/||카카오맵||쌍둥이가원양꼬치||양꼬치||4.0||https://place.map.kakao.com/1199098275#review||서울 노원구 동일로192길 46||(지번) 공릉동 392-2||매일 14:00 ~ 03:00||https://place.map.kakao.com/1199098275?openhour=1||070-4133-0539||
"https://map.kakao.com/||카카오맵||신미방마라탕 공릉점||중국요리||4.4||https://place.map.kakao.com/79841784#review||서울 노원구 동일로190길 40 1층||(지번) 공릉동 502-25||매일 11:00 ~ 23:30||https://place.map.kakao.com/79841784?openhour=1||||
"https://map.kakao.com/||카카오맵||복쓰부||중국요리||4.4||https://place.map.kakao.com/1067983447#review||서울 노원구 공릉로 196||(지번) 공릉동 208-24||월요일||https://place.map.kakao.com/1067983447?openhour=1||02-979-0689||
"https://map.kakao.com/||카카오맵||탕화쿵푸 공릉점||중국요리||4.7||https://place.map.kakao.com/1212790145#review||서울 노원구 공릉로 203 2층||(지번) 공릉동 424-2||월~토 11:00 ~ 21:50||https://place.map.kakao.com/1212790145?openhour=1||02-975-0630||
"https://map.kakao.com/||카카오맵||보배반점 공릉점||중국요리||5.0||https://place.map.kakao.com/945249788#review||서울 노원구 동일로192길 16||(지번) 공릉동 395-3||||https://map.kakao.com/#||02-977-2410||
"https://map.kakao.com/||카카오맵||8월의중식 공릉산업대점||중식||3.0||https://place.map.kakao.com/495843596#review||서울 노원구 동일로192길 46||(지번) 공릉동 392-2||||https://map.kakao.com/#||02-971-6003||
"https://map.kakao.com/||카카오맵||마라하오 공릉점||중식||0.0||https://place.map.kakao.com/1982059211#review||서울 노원구 동일로192길 20 지하1층 201호||(지번) 공릉동 395-14||||https://map.kakao.com/#||||
"https://map.kakao.com/||카카오맵||중식당친친||중식||0.0||https://place.map.kakao.com/1278709333#review||서울 노원구 동일로192길 18||(지번) 공릉동 395-13||||https://map.kakao.com/#||0507-899-9988"
